"NOME_PARLAMENTAR";"ESTADO_ELEITO";"PARTIDO_ELEITO";"AUXILIO_MORADIA";"IMOVEL_FUNCIONAL"
"ALAN RICK";"AC";"UNIÃO";"false";"true"
"ALESSANDRO VIEIRA";"SE";"PSDB";"false";"true"
"ANA PAULA LOBATO";"MA";"PSB";"false";"false"
"ANGELO CORONEL";"BA";"PSD";"false";"false"
"ASTRONAUTA MARCOS PONTES";"SP";"PL";"false";"false"
"AUGUSTA BRITO";"CE";"PT";"true";"false"
"BETO FARO";"PA";"PT";"false";"true"
"CAMILO SANTANA";"CE";"PT";"false";"true"
"CARLOS FÁVARO";"MT";"PSD";"false";"true"
"CARLOS PORTINHO";"RJ";"PL";"false";"true"
"CARLOS VIANA";"MG";"PODEMOS";"false";"true"
"CHICO RODRIGUES";"RR";"PSB";"false";"true"
"CID GOMES";"CE";"PDT";"false";"true"
"CIRO NOGUEIRA";"PI";"PP";"false";"false"
"CLEITINHO";"MG";"REPUBLICANOS";"false";"true"
"CONFUCIO MOURA";"RO";"MDB";"false";"false"
"DAMARES ALVES";"DF";"REPUBLICANOS";"false";"false"
"DANIELLA RIBEIRO";"PB";"PSD";"false";"true"
"DAVI ALCOLUMBRE";"AP";"UNIÃO";"false";"true"
"DR. HIRAN";"RR";"PP";"false";"true"
"DR. SAMUEL ARAÚJO";"RO";"PL";"false";"false"
"EDUARDO BRAGA";"AM";"MDB";"false";"true"
"EDUARDO GIRÃO";"CE";"NOVO";"false";"false"
"EDUARDO GOMES";"TO";"PL";"false";"true"
"EFRAIM FILHO";"PB";"UNIÃO";"false";"true"
"ELIZIANE GAMA";"MA";"PSD";"false";"true"
"ESPERIDIÃO AMIN";"SC";"PP";"false";"false"
"FABIANO CONTARATO";"ES";"PT";"false";"true"
"FERNANDO DUEIRE";"PE";"MDB";"true";"false"
"FERNANDO FARIAS";"AL";"MDB";"false";"false"
"FLÁVIO ARNS";"PR";"PSB";"false";"false"
"FLÁVIO BOLSONARO";"RJ";"PL";"false";"false"
"FLÁVIO DINO";"MA";"PSB";"false";"true"
"GIORDANO";"SP";"MDB";"false";"true"
"HAMILTON MOURÃO";"RS";"REPUBLICANOS";"false";"false"
"HUMBERTO COSTA";"PE";"PT";"false";"true"
"IRAJÁ";"TO";"PSD";"false";"true"
"IVETE DA SILVEIRA";"SC";"MDB";"false";"true"
"IZALCI LUCAS";"DF";"PSDB";"false";"false"
"JADER BARBALHO";"PA";"MDB";"false";"true"
"JAIME BAGATTOLI";"RO";"PL";"false";"true"
"JAQUES WAGNER";"BA";"PT";"false";"false"
"JARBAS VASCONCELOS";"PE";"MDB";"false";"true"
"JAYME CAMPOS";"MT";"UNIÃO";"false";"true"
"JORGE KAJURU";"GO";"PSB";"false";"true"
"JORGE SEIF";"SC";"PL";"false";"true"
"JUSSARA LIMA";"PI";"PSD";"false";"false"
"LAÉRCIO OLIVEIRA";"SE";"PP";"false";"false"
"LEILA BARROS";"DF";"PDT";"false";"false"
"LUCAS BARRETO";"AP";"PSD";"false";"true"
"LUIS CARLOS HEINZE";"RS";"PP";"false";"true"
"MAGNO MALTA ";"ES";"PL";"false";"false"
"MARA GABRILLI";"SP";"PSD";"false";"false"
"MARCELO CASTRO";"PI";"MDB";"false";"true"
"MARCIO BITTAR";"AC";"UNIÃO";"false";"true"
"MARCOS DO VAL";"ES";"PODEMOS";"false";"true"
"MARCOS ROGÉRIO";"RO";"PL";"false";"true"
"MARGARETH BUZETTI";"MT";"PSD";"true";"false"
"MECIAS DE JESUS";"RR";"REPUBLICANOS";"false";"true"
"NELSINHO TRAD FILHO";"MS";"PSD";"false";"true"
"OMAR AZIZ";"AM";"PSD";"false";"true"
"ORIOVISTO GUIMARÃES";"PR";"PODEMOS";"false";"false"
"OTTO ALENCAR";"BA";"PSD";"false";"true"
"PAULO PAIM";"RS";"PT";"false";"true"
"PLÍNIO VALÉRIO";"AM";"PSDB";"false";"true"
"PROFESSORA DORINHA SEABRA";"TO";"UNIÃO";"false";"true"
"RANDOLFE RODRIGUES";"AP";"REDE";"false";"true"
"RENAN CALHEIROS";"AL";"MDB";"false";"true"
"RENAN FILHO";"AL";"MDB";"false";"true"
"RODRIGO CUNHA";"AL";"UNIÃO";"false";"true"
"RODRIGO PACHECO";"MG";"PSD";"false";"false"
"ROGÉRIO CARVALHO";"SE";"PT";"false";"true"
"ROGERIO MARINHO";"RN";"PL";"false";"true"
"ROMÁRIO";"RJ";"PL";"false";"true"
"SERGIO MORO";"PR";"UNIÃO";"false";"false"
"SÉRGIO PETECÃO";"AC";"PSD";"false";"true"
"SORAYA THRONICKE";"MS";"UNIÃO";"false";"true"
"STYVENSON VALENTIM";"RN";"PODEMOS";"false";"true"
"TERESA LEITÃO";"PE";"PT";"false";"true"
"TEREZA CRISTINA";"MS";"PP";"false";"true"
"VANDERLAN CARDOSO";"GO";"PSD";"false";"true"
"VENEZIANO VITAL DO RÊGO";"PB";"MDB";"false";"true"
"WELLINGTON DIAS";"PI";"PT";"false";"false"
"WELLINGTON FAGUNDES";"MT";"PL";"false";"true"
"WEVERTON";"MA";"PDT";"false";"false"
"WILDER MORAIS";"GO";"PL";"false";"true"
"ZENAIDE MAIA";"RN";"PSD";"false";"true"
"ZEQUINHA MARINHO";"PA";"PL";"false";"true"
