"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2192909";"3";"2023";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";"001/23";"2023-01-03";"Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.";"6000"
"2192907";"7";"2023";"1";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"34274233011210";"VIBRA ENERGIA S.A.";"000115886";"2023-01-23";"Despesa com combustível para abastecimento de aeronave";"14519.74"
"2192908";"7";"2023";"1";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84707538000120";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.740";"2023-01-24";"Despesa com aquisição de combustível para abastecimento de aeronave";"705.46"
"2192911";"6";"2023";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17872428000127";"AMERICA VIAGENS E TURISMO LTDA - ME";"JGDENI";"2023-01-02";"Companhia Aérea: LATAM, Localizador: JGDENI. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3616 - BSBNVT - 03/01/23; ";"3390"
"2192913";"6";"2023";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17872428000127";"AMERICA VIAGENS E TURISMO LTDA - ME";"QONNXN";"2023-01-08";"Companhia Aérea: LATAM, Localizador: QONNXN. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3617 - NVTBSB - 09/01/23; ";"3400"
"2193435";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"30673595000107";"AMAURI DE SOUZA JUNIOR";"370";"2023-01-20";"Despesa com prestação de Serviço de Marketing Direto em Mídias Sociais referente às ações parlamentar";"4650"
"2192748";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"32223966000184";"ANDRÉ LUIZ SOARES MACHADO";"000000000000106/A";"2023-01-20";"Despesa com divulgação da atividade parlamentar";"300"
"2192639";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"34009294000134";"C B FIRME PUBLICIDADE";"00000061";"2023-01-18";"Despesa com divulgação do mandato Parlamentar - Cacoal";"500"
"2192866";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"08742048000187";"CMP COMUNICAÇÃO E ASSESSORIA LTDA - ME";"000000000005649/A";"2023-01-24";"Despesa com divulgação da atividade parlamentar";"800"
"2194035";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"05305671000184";"CYBERWEB NETWORKS LTDA";"2023/82249";"2023-01-30";"Plano Hospedagem WordPress II";"70.93"
"2194036";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"05305671000184";"CYBERWEB NETWORKS LTDA";"2023/82250";"2023-01-30";"Plano Hospedagem WordPress III";"336.16"
"2193253";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"13279434000114";"E NASCIMENTO AGÊNCIA DE PUBLICIDADE E MARKETING - ME";"626";"2023-01-25";"Despesa com divulgação da atividade parlamentar";"400"
"2192642";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"05248037000157";"EMPRESA JORNALISTICA EXTRA DE RONDÔNIA LTDA";"00000016";"2023-01-18";"Despesa com divulgação da atividade parlamentar";"800"
"2192638";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"03670374000102";"FUNDAÇÃO AMAZÔNIA GLOBAL";"987";"2023-01-18";"DESPESA COM DIVULGAÇÃO DO MANDATO PARLAMENTAR";"500"
"2192735";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"01108101000143";"FUNDAÇÃO DOM REY (RÁDIO EDUCADORA)";"1576";"2023-01-19";"Despesa com divulgação da atividade parlamentar";"600"
"2192747";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"23858009000133";"J T PUBLICIDADE E MARKETING LTDA";"000000000000410/A";"2023-01-20";"Despesa com divulgação do mandato parlamentar";"500"
"2192744";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"33922957000144";"LEIVINHA PEREIRA DE OLIVEIRA";"000000000000395/A";"2023-01-20";"Despesa com divulgação do mandato";"700"
"2192745";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"25525794000138";"LUCELIO CAMPOS COSTA 73185639200";"00000003";"2023-01-20";"Despesa com divulgação do mandato";"400"
"2192736";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"43205730000131";"MARCO AURÉLIO CÂNDIDO";"101";"2023-01-19";"Despesa com divulgação da atividade parlamentar";"300"
"2192643";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"41878907000135";"PATRÍCIA  DE AGUIAR SANT ANA";"000000000000080/A";"2023-01-18";"Despesa com divulgação da atividade parlamentar";"400"
"2192644";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"05208699000101";"RÁDIO ALVORADA DE RONDÔNIA LTDA ME";"000.002.600";"2023-01-18";"Despesa com divulgação da atividade parlamentar";"520"
"2192737";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"08575232000180";"RÁDIO ONDA SUL FM LTDA ME";"1778";"2023-01-19";"Despesa com divulgação da atividade parlamentar";"567"
"2193254";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"05244225000107";"REDE DE COMUNICAÇÕES SCHWUANTES LTDA ME";"1684";"2023-01-31";"Despesa com divulgação da atividade parlamentar";"1000"
"2192746";"7";"2023";"1";"CONFÚCIO MOURA";"Divulgação da atividade parlamentar";"23652846000101";"ROBERTO GUTIERREZ DA ROCHA M.E.I";"213";"2023-01-20";"Despesa com divulgação da atividade parlamentar";"400"
"2196345";"4";"2023";"3";"BETO FARO";"Passagens aéreas, aquáticas e terrestres nacionais";"33937681000178";"LATAM";"XJVXXQ";"2023-03-27";"Companhia Aérea: LATAM, Localizador: XJVXXQ. Passageiros: JOSÉ ROBERTO OLIVEIRA FARO (Matrícula 397146, PARLAMENTAR), Voo: 3707 - BEL/BSB - 27/03/23; ";"3352.88"
"2192538";"3";"2023";"1";"BISPO JOSÉ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"61748064215";"ELIANE SOUZA DE ARAÚJO";;"2023-01-03";;"5500"
"2192388";"7";"2023";"1";"BISPO JOSÉ";"Divulgação da atividade parlamentar";"40304331000130";"ACRENEWS COMUNICACAO PUBLICACAO &";"64";"2023-01-09";;"1500"
"2192414";"7";"2023";"1";"BISPO JOSÉ";"Divulgação da atividade parlamentar";"20357070000109";"MMPL - CONSULTORIA, MARKETING E DI";"01";"2023-01-10";;"2000"
"2193007";"7";"2023";"1";"BISPO JOSÉ";"Divulgação da atividade parlamentar";"23814712000140";"SOUZACRE AGENCIA DE PUBLICIDADE LTDA";"982";"2023-01-24";;"2000"
"2192848";"7";"2023";"1";"BISPO JOSÉ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"34960629000103";"AUTO POSTO CALAFATE COMERCIO DE DERIVADOS DE PETROLEO LTDA";"768";"2023-01-19";;"214.53"
