"NOME";"ESTADO";"PARTIDO";"SETOR";"ENDEREÇO";"TELEFONE";"FAX"
"MARCIO BITTAR";"AC";"UNIÃO";"Escritório de Apoio nº 01 do Senador Márcio Bittar";"RUA ALVORADA, 57. BOSQUE, RIO BRANCO, AC.";;
"SÉRGIO PETECÃO";"AC";"PSD";"Escritório de Apoio do Senador Sérgio Petecão";"VIA CHICO MENDES, KM, 1. TRIÂNGULO NOVO, RIO BRANCO, AC. CEP:69906-000";;
"RENAN CALHEIROS";"AL";"MDB";"Escritório de Apoio do Senador Renan Calheiros";"RUA PAULINA DE MENDONÇA, 816. MANGABEIRAS, MACEIO, AL. CEP:57037-600";"(82) 3325-9360";
"RODRIGO CUNHA";"AL";"UNIÃO";"Escritório de Apoio nº 01 do Senador Rodrigo Cunha";"RUA SAMPAIO MARQUES, 25. SALA 816, EDIFÍCIO DELMAN EMPRESARIAL. PAJUÇARA, MACEIO, AL. CEP:57030-107";;
"EDUARDO BRAGA";"AM";"MDB";"Escritório do Senador Eduardo Braga";"ALAMEDA PORTUGAL, 109. QUADRA 7. PONTA NEGRA, MANAUS, AM. CEP:69037-023";"(92) 3643-9511";"(92) 36439531"
"OMAR AZIZ";"AM";"PSD";"Escritório de Apoio nº 01 do Senador Omar Aziz";"RUA BERURI, 157. CONDOMÍNIO EFIGÊNIO SALES. ALEIXO, MANAUS, AM. CEP:69060-446";;
"PLÍNIO VALÉRIO";"AM";"PSDB";"Escritório de Apoio nº 01 do Senador Plínio Valério";"AVENIDA DR. THEOMÁRIO PINTO DA COSTA, 811. EDIFÍCIO SKYE PLATINUM OFFICES - SALA 1805. CHAPADA, MANAUS, AM. CEP:69050-055";;
"DAVI ALCOLUMBRE";"AP";"UNIÃO";"Escritório de Apoio nº 1 do Senador Davi Alcolumbre";"AVENIDA LUIZ CARLOS DE ARAÚJO MONTEIRO, 197. JARDIM EQUATORIAL, MACAPA, AP. CEP:68903-008";"(96) 3345-9263";
"LUCAS BARRETO";"AP";"PSD";"Escritório de Apoio nº 01 do Senador Lucas Barreto";"AVENIDA EQUATORIAL, 2265. JARDIM MARCO ZERO, MACAPA, AP. CEP:68903-361";;
"RANDOLFE RODRIGUES";"AP";"REDE";"Escritório de Apoio nº 1 do Senador Randolfe Rodrigues";"AVENIDA PEDRO BAIÃO, 257. TREM, MACAPA, AP. CEP:68900-250";"(96) 3315-1818";
"ANGELO CORONEL";"BA";"PSD";"Escritório de Apoio nº 01 do Senador Angelo Coronel";"ALAMEDA DAS FRAMBOESAS, 349. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-450";;
"JAQUES WAGNER";"BA";"PT";"Escritório de Apoio nº 01 do Senador Jaques Wagner";"AVENIDA L. VIANA FILHO, 6462. TORRE WEST, SALA 601. SALVADOR, BA. CEP:41730-101";;
"OTTO ALENCAR";"BA";"PSD";"Escritório de Apoio 1 do Senador Otto Alencar";"AVENIDA TANCREDO NEVES, 620. CONDOMÍNIO MUNDO PLAZA TORRE EMPRESARIAL, SALA 2014. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-020";"(71) 2132-9828";
"AUGUSTA BRITO";"CE";"PT";"Escritório de Apoio nº 1 da Senadora Augusta Brito";"RUA DESEMBARGADOR LEITE ALBUQUERQUE, 635. SALA 202 - ED. METROPOLITAN EMPRESARIAL. ALDEOTA, FORTALEZA, CE. CEP:60150-150";;
"CID GOMES";"CE";"PDT";"Escritório de Apoio nº 02 do Senador Cid Gomes";"AVENIDA DESEMBARGADOR MOREIRA, 1300. ED. BS DESIGN CORPORATE TOWERS, SALAS 317 E 319. ALDEOTA, FORTALEZA, CE. CEP:60170-002";;
"CID GOMES";"CE";"PDT";"Escritório de Apoio nº 01 do Senador Cid Gomes";"AVENIDA DOM JOSÉ TUPINAMBÁ DA FROTA, 445. SALA 2. SOBRAL, CE. CEP:62010-290";;
"EDUARDO GIRÃO";"CE";"NOVO";"Escritório de Apoio nº 01 do Senador Eduardo Girão";"AVENIDA DESEMBARGADOR MOREIRA, 2120. SALA 1.306, DIONÍSIO TORRES. ALDEOTA, FORTALEZA, CE. CEP:60170-002";"(85) 98548-5469";
"IZALCI LUCAS";"DF";"PSDB";"Escritório de Apoio do Senador Izalci Lucas";"SETOR SDS BLOCO D EDIFÍCIO ELDORADO. SALA 301. BRASÍLIA, DF. CEP:70392-901";;
"LEILA BARROS";"DF";"PDT";"Escritório de Apoio nº 01 da Senadora Leila Barros";"QUADRA SDS. ED. ELDOURADO, BLOCO ""D"", N. 60, SALA 315. BRASÍLIA, DF. CEP:70392-901";;
"FABIANO CONTARATO";"ES";"PT";"Escritório de Apoio nº 01 do Senador Fabiano Contarato";"RUA INÁCIO HIGINO, 673. SALA 610 - ED. MUBADALLA OFFICE. PRAIA DA COSTA, VILA VELHA, ES. CEP:29101-087";;
"MARCOS DO VAL";"ES";"PODEMOS";"Escritório de Apoio nº 01 do Senador Marcos do Val";"RUA JOÃO DA CRUZ, 195. EDIFÍCIO SEVILHA - SALAS 301 E 302. PRAIA DO CANTO, VITÓRIA, ES. CEP:29055-620";"(27) 3376-1551";
"JORGE KAJURU";"GO";"PSB";"Escritório de Apoio nº 01 do Senador Jorge Kajuru";"AVENIDA R-, 9. QUADRA R 10 LT. 11 SOBRADO Nº 03. SETOR OESTE, GOIANIA, GO. CEP:74125-110";;
"VANDERLAN CARDOSO";"GO";"PSD";"Escritório de Apoio nº 01 do Senador Vanderlan Cardoso";"PRAÇA PROF. CECILIO FLEURY. Q F32, 30. ST. SUL, GOIANIA, GO. CEP:74085-540";;
"WILDER MORAIS";"GO";;"Escritório de Apoio nº 1 do Senador Wilder Morais";"RUA  94, 912. QD. F16, LT. 112. SETOR SUL, GOIANIA, GO. CEP:74083-105";;
"ANA PAULA LOBATO";"MA";"PSB";"Escritório de Apoio nº 2 da Senadora Ana Paula Lobato";"AVENIDA CORONEL COLARES MOREIRA - ED. MONUMENTAL SHOPPING, 444. SALA 311-A. RENASCENÇA II, SÃO LUIS, MA. CEP:65075-441";;
